cod_ibge,nome,microrregiao,mesorregiao,populacao_2022,pib_mil_reais,idhm,forest_pct,temp_mean_c,precip_annual_mm,humidity_mean_pct,livability_score,rank
3503901,Arujá,Guarulhos,Metropolitana de São Paulo,86678,10426127.0000,0.7840,38.5800,19.3000,1253.0000,80.4000,0.6355,40
3551009,São Vicente,Santos,Metropolitana de São Paulo,329911,7414656.0000,0.7680,68.8300,23.0000,2689.0000,83.3000,0.6328,41
3554805,Tremembé,São José dos Campos,Vale do Paraíba Paulista,51173,1091771.0000,0.7850,24.9400,21.1000,1140.0000,73.6000,0.6319,42
3530607,Mogi das Cruzes,Mogi das Cruzes,Metropolitana de São Paulo,451505,26072522.0000,0.7830,43.7600,23.0000,2689.0000,83.3000,0.6308,43
3531100,Mongaguá,Itanhaém,Litoral Sul Paulista,61951,1535906.0000,0.7540,81.5100,19.0000,1094.0000,83.2000,0.6290,44
3508504,Caçapava,São José dos Campos,Vale do Paraíba Paulista,96202,6516271.0000,0.7880,15.6600,21.1000,1140.0000,73.6000,0.6253,45
3543402,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,698642,52306820.0000,0.8000,7.5400,23.0000,951.0000,65.9000,0.6247,46
3524709,Jaguariúna,Campinas,Campinas,59347,14680878.0000,0.7840,7.6000,21.7000,1119.0000,67.7000,0.6188,47
3550605,São Roque,Sorocaba,Macro Metropolitana Paulista,79484,4532567.0000,0.7680,46.3100,19.3000,1086.0000,79.0000,0.6187,48
3527306,Louveira,Jundiaí,Macro Metropolitana Paulista,51847,20154612.0000,0.7770,19.4600,19.9000,1214.0000,74.8000,0.6180,49
3530805,Mogi Mirim,Mogi Mirim,Campinas,92558,8092719.0000,0.7840,6.1400,21.7000,1119.0000,67.7000,0.6166,50
3522109,Itanhaém,Itanhaém,Litoral Sul Paulista,112476,2956406.0000,0.7450,87.2200,19.0000,1094.0000,83.2000,0.6165,51
3523404,Itatiba,Bragança Paulista,Macro Metropolitana Paulista,121590,10327467.0000,0.7780,16.5700,19.9000,1214.0000,74.8000,0.6161,52
3538006,Pindamonhangaba,São José dos Campos,Vale do Paraíba Paulista,165428,13674680.0000,0.7730,30.5900,21.1000,1140.0000,73.6000,0.6124,53
3504008,Assis,Assis,Assis,101409,4682609.0000,0.8050,14.7000,23.2000,1165.0000,66.3000,0.6106,54
3507605,Bragança Paulista,Bragança Paulista,Macro Metropolitana Paulista,176811,10443288.0000,0.7760,15.9200,19.9000,1214.0000,74.8000,0.6105,55
3505708,Barueri,Osasco,Metropolitana de São Paulo,316473,71646710.0000,0.7860,12.1000,19.3000,1086.0000,79.0000,0.6103,56
3537602,Peruíbe,Itanhaém,Litoral Sul Paulista,68352,2366996.0000,0.7490,76.3300,19.0000,1094.0000,83.2000,0.6098,57
3541000,Praia Grande,Santos,Metropolitana de São Paulo,349935,11396646.0000,0.7540,68.3100,19.0000,1094.0000,83.2000,0.6097,58
3520509,Indaiatuba,Campinas,Campinas,255748,28264863.0000,0.7880,7.9600,19.3000,1086.0000,79.0000,0.6089,59
3547502,Santa Rita do Passa Quatro,Ribeirão Preto,Ribeirão Preto,24833,992180.0000,0.7750,21.6000,22.2000,1050.0000,66.4000,0.6083,60
3530706,Mogi Guaçu,Mogi Mirim,Campinas,153658,9433838.0000,0.7740,15.3600,21.7000,1119.0000,67.7000,0.6070,61
3536505,Paulínia,Campinas,Campinas,110537,67067300.0000,0.7950,5.6000,22.2000,1053.0000,68.2000,0.6069,62
3539400,Piratininga,Bauru,Bauru,15108,389655.0000,0.7790,15.7600,22.1000,971.0000,68.5000,0.6058,63
3545159,Saltinho,Piracicaba,Piracicaba,8161,471342.0000,0.7910,10.8700,22.2000,1053.0000,68.2000,0.6053,64
3504107,Atibaia,Bragança Paulista,Macro Metropolitana Paulista,158647,9426584.0000,0.7650,28.1700,19.9000,1214.0000,74.8000,0.6030,65
3549805,São José do Rio Preto,São José do Rio Preto,São José do Rio Preto,480393,26390121.0000,0.7970,6.2100,23.4000,892.0000,64.0000,0.6030,66
3524402,Jacareí,São José dos Campos,Vale do Paraíba Paulista,240275,19692996.0000,0.7770,17.1800,21.1000,1140.0000,73.6000,0.6020,67
